Player,Mat_t20,Inns_t20,NO_t20,HS_t20,Ave_t20,SR_t20,4s_t20,6s_t20,Team_t20,Runs_t20,100s_t20,50s_t20,0s_t20,Mat_odi,Inns_odi,NO_odi,HS_odi,Ave_odi,SR_odi,4s_odi,6s_odi,Team_odi,Runs_odi,100s_odi,50s_odi,0s_odi,Price,Score,Price_score
Kuldeep Yadav,8,1,0,16,16,84.21,1,0,,16,0,0,0,20,7,5,19,11.5,62.16,4,0,,23,0,0,1,0,85.21,747.9192482445
LS Livingstone,2,2,0,16,8,84.21,1,0,,16,0,0,1,,,,,,,,,,,,,,0,85.21,747.9192482445
PVD Chameera,3,2,0,12,7.5,78.94,2,0,,15,0,0,0,11,7,3,19,13.5,66.66,4,0,,54,0,0,0,0,80.94,710.4399008674
RA Jadeja,1,1,1,13,0,162.5,0,1,,13,0,0,0,7,3,1,15,13,70.27,1,0,,26,0,0,0,0,163.5,1435.0991325898
R Ashwin,1,1,1,11,0,157.14,1,0,KXIP,11,0,0,0,6,1,0,1,1,33.33,0,0,KXIP,1,0,0,0,760,158.14,760
Mahedi Hasan,1,1,0,11,11,100,1,0,,11,0,0,0,,,,,,,,,,,,,,0,101,886.5138372573
AU Rashid,5,3,1,8,5,83.33,1,0,,10,0,0,0,21,8,1,39,13.57,118.75,10,1,,95,0,0,1,0,84.33,740.1951672862
MP Stoinis,6,2,0,6,5,62.5,1,0,,10,0,0,0,10,10,3,87,53.42,100,29,14,,374,0,4,0,0,63.5,557.3626600578
MA Wood,3,2,2,5,0,83.33,1,0,,10,0,0,0,12,3,1,3,2.5,62.5,0,0,,5,0,0,1,0,84.33,740.1951672862
Zakir Hasan,1,1,0,10,10,111.11,1,0,,10,0,0,0,,,,,,,,,,,,,,0,112.11,984.0303593556
DT Christian,1,1,0,9,9,69.23,0,0,,9,0,0,0,,,,,,,,,,,,,,0,69.23,607.6569599339
Liton Das,1,1,0,9,9,128.57,0,1,,9,0,0,0,3,3,0,21,13.66,87.23,6,1,,41,0,0,0,0,129.57,1137.2831474597
Mashrafe Mortaza,2,2,1,9,9,150,1,0,,9,0,0,1,18,10,1,30,8.44,74.5,11,0,,76,0,0,3,0,151,1325.3820735233
JJ Bumrah,10,2,1,7,8,72.72,1,0,,8,0,0,0,26,3,1,10,5.5,36.66,2,0,,11,0,0,1,0,73.72,647.0673275506
TK Curran,6,3,2,6,8,133.33,0,1,,8,0,0,0,3,2,1,35,46,109.52,2,2,,46,0,0,0,0,134.33,1179.0634035523
AD Mathews,3,2,0,7,4,66.66,1,0,,8,0,0,0,16,15,5,111,61.5,76.01,57,9,,615,1,3,0,0,67.66,593.8764973152
Mustafizur Rahman,4,1,0,8,8,88.88,1,0,,8,0,0,0,16,6,6,18,0,60,2,0,,21,0,0,0,0,89.88,788.9095415118
HM Nicholls,3,2,0,6,4,72.72,1,0,,8,0,0,0,11,10,4,83,50.66,102.7,27,3,,304,0,3,1,0,73.72,647.0673275506
